% Model,Relay.mph
% Version,COMSOL 5.5.0.359
% Date,"May 10 2020, 17:15"
% Table,Table 1 - Max Displacement
% Time (s),Total displacement (nm)
3.23,41.29895135178476
3.24,40.8709945174897
3.25,40.44303828187595
3.2600000000000002,40.01508266415194
3.27,39.54527704740447
3.2800000000000002,39.06659305441809
3.29,38.587909250948876
3.3000000000000003,38.109225644138235
3.31,37.630542241491085
3.3200000000000003,37.15185905089902
3.33,36.673176080665705
3.34,36.1944933395341
3.35,35.71581083671579
3.36,35.23712858192302
3.37,34.75844658540291
3.38,34.27976485797506
3.39,33.80108341107185
3.4,33.322402256782674
3.41,32.8437214079016
3.42,32.36504087797967
3.43,31.88636068138159
3.44,31.40768083334781
3.45,30.929001350062205
3.46,30.45032224872635
3.47,29.971643547640646
3.48,29.492965266293627
3.49,29.106515468183314
3.5,28.77377280073177
3.5100000000000002,28.441030170275443
3.52,28.108287578128188
3.5300000000000002,27.77554502566678
3.54,27.442802514334808
3.5500000000000003,27.110060045646687
3.56,26.777317621192157
3.5700000000000003,26.444575242640912
3.58,26.11183291174782
3.59,25.77909063035829
3.6,25.44634840041428
3.61,25.113606223960698
3.62,24.780864103152215
3.63,24.44812204026087
3.64,24.11538003768405
3.65,23.782638097953367
3.66,23.449896223744037
3.67,23.117154417885384
3.68,22.784412683371944
3.69,22.451671023375837
3.7,22.118929441259983
3.71,21.786187940592818
3.72,21.453446525164114
3.73,21.1207051990025
3.74,20.787963966394504
3.75,20.455222831905598
3.7600000000000002,20.122481800403193
3.77,19.7897408770821
3.7800000000000002,19.457000067492434
3.79,19.124259377570624
3.8000000000000003,18.791518813673495
3.81,18.458778382616302
3.8200000000000003,18.126038091714655
3.83,17.79329794883145
3.84,17.460557962428876
3.85,17.127818141626715
3.86,16.795078496267504
3.87,16.462339036989448
3.88,16.129599775308662
3.89,15.796860723711454
3.9,15.464121895758867
3.91,15.131383306204686
3.92,14.79864497112968
3.93,14.492379627033026
3.94,14.267263615547332
3.95,14.042147609490364
3.96,13.817031609127495
3.97,13.591915614741625
3.98,13.36679962663476
3.99,13.141683645129548
4,12.916567670571192
4.01,12.691451703329335
4.0200000000000005,12.466335743800323
4.03,12.241219792409714
4.04,12.016103849614888
4.05,11.79098791590819
4.0600000000000005,11.565871991820268
4.07,11.340756077923965
4.08,11.115640174838463
4.09,10.890524283234173
4.1,10.665408403838095
4.11,10.440292537439921
4.12,10.215176684899008
4.13,9.990060847152117
4.14,9.764945025222406
4.15,9.539829220229592
4.16,9.314713433401696
4.17,9.089597666088332
4.18,8.86448191977623
4.19,8.639366196107055
4.2,8.414250496898227
4.21,8.189134824166931
4.22,7.964019180158459
4.23,7.738903567379331
4.24,7.513787988636514
4.25,7.288672447083688
4.26,7.063556946276591
4.2700000000000005,6.838441490239139
4.28,6.6133260835432095
4.29,6.388210731405046
4.3,6.163095439803036
4.3100000000000005,6.021492317068844
4.32,5.882678284697795
4.33,5.743864260886336
4.34,5.605050246270421
4.3500000000000005,5.466236241550597
4.36,5.3274222475004605
4.37,5.1886082649763585
4.38,5.04979429492881
4.39,4.9109803384158
4.4,4.772166396618405
4.41,4.633352470859282
4.42,4.49453856262444
4.43,4.355724673589341
4.44,4.216932702533037
4.45,4.07816119519965
4.46,3.939389713655527
4.47,3.80061826072559
4.48,3.6618468396629655
4.49,3.52307545423337
4.5,3.3843041088201247
4.51,3.2455328085562436
4.5200000000000005,3.1067648222604207
4.53,2.968063364513889
4.54,2.8293619748555083
4.55,2.6906606638149477
4.5600000000000005,2.551959444211043
4.57,2.4132583318096965
4.58,2.2745573462223314
4.59,2.1358565121545747
4.6000000000000005,1.9971558611751503
4.61,1.8584554342769521
4.62,1.7197552856772647
4.63,1.581055488618384
4.64,1.4423561445148763
4.65,1.3036573979398733
4.66,1.1649594623166133
4.67,1.0262626664420462
4.68,0.9606145918257776
4.69,0.9278798478027643
4.7,0.8951455836911829
4.71,0.8624118541385212
4.72,0.8296787224154422
4.73,0.7969462621862656
4.74,0.7642145597342871
4.75,0.7314837167842809
4.76,0.6988139485575778
4.7700000000000005,0.6662952467543755
4.78,0.6334937270602488
4.79,0.6006257658516685
4.8,0.5677578046431238
4.8100000000000005,0.534889843434618
4.82,0.5020218822261657
4.83,0.4691539210177741
4.84,0.4362859598094573
4.8500000000000005,0.40341799860123023
4.86,0.3705500373931238
4.87,0.33768207618516943
4.88,0.30481411497741595
4.89,0.27194615376993664
4.9,0.23907819256284138
4.91,0.20621023135632113
4.92,0.1733422701506984
4.93,0.14047430894660315
4.94,0.10760634774543228
4.95,0.07473838655105346
4.96,0.041870425379452174
4.97,0.0118127865033059
4.98,0.007035149988705399
4.99,0.002257513475231541
5,2.7774605699296555E-11
