% Model,Relay.mph
% Version,COMSOL 5.5.0.359
% Date,"May 10 2020, 14:24"
% Table,Table 1 - Max Displacement
% Time (s),abs(w) (nm),Total displacement (nm)
1.95,14.941729689109104,14.945442705746908
1.96,14.664968005329028,14.66862671589524
1.97,14.388206321548955,14.391810768220164
1.98,14.11144463776888,14.114994865203117
1.99,13.834682953988807,13.838179009524085
2,13.557921270208734,13.561363204081873
2.0100000000000002,13.281159586428654,13.284547452016893
2.02,13.004397902648588,13.007731756736906
2.0300000000000002,12.727636218868506,12.73091612194601
2.04,12.45087453508844,12.454100551677687
2.05,12.174112851308372,12.17728505033212
2.06,11.897351167528292,11.900469622718916
2.07,11.620589483748226,11.623654274105872
2.08,11.343827799968146,11.346839010274781
2.09,11.067066116188078,11.070023837585804
2.1,10.824968395182813,10.827872789329424
2.11,10.620247331041973,10.623098493311192
2.12,10.415526266901125,10.418324197942416
2.13,10.210805202760287,10.213549903262184
2.14,10.00608413861944,10.008775609312734
2.15,9.801363074478601,9.804001316139876
2.16,9.596642010337755,9.599227023793294
2.17,9.391920946196917,9.394452732327034
2.18,9.18719988205607,9.189678441799932
2.19,8.982478817915231,8.984904152276213
2.2,8.777757753774384,8.780129863826069
2.21,8.573036689633547,8.575355576526421
2.22,8.368315625492698,8.37058129046169
2.23,8.16359456135186,8.1658070057248
2.24,7.9588734972110124,7.961032722418193
2.25,7.754152433070174,7.7562584406551744
2.2600000000000002,7.5494313689293255,7.551484160561296
2.27,7.344710304788489,7.346709882276152
2.2800000000000002,7.139989240647641,7.141935605955299
2.29,6.935268176506803,6.937161331772707
2.3000000000000003,6.730547112365955,6.732387059923472
2.31,6.525826048225118,6.527612790627206
2.32,6.32110498408428,6.322838524131945
2.33,6.1163839199434324,6.118064260718934
2.34,5.911662855802594,5.9132900007083995
2.35,5.706941791661746,5.7085157444664825
2.36,5.503167597228019,5.504688537958721
2.37,5.366211137092325,5.367691478029642
2.38,5.229254676956637,5.230694421679143
2.39,5.092298216820943,5.093697369195952
2.4,4.955341756685256,4.956700320900746
2.41,4.81838529654956,4.819703277150631
2.42,4.681428836413874,4.682706238344539
2.43,4.54447237627818,4.545709204929456
2.44,4.407515916142491,4.408712177407959
2.45,4.270559456006797,4.2717151563470726
2.46,4.13360299587111,4.134718142388992
2.47,3.9966465357354144,3.997721136263915
2.48,3.8596900755997283,3.86072413880572
2.49,3.722733615464033,3.7237271509709573
2.5,3.5857771553283455,3.5867301738623603
2.5100000000000002,3.4488206951926514,3.4497332087577983
2.52,3.311864235056963,3.3127362571465504
2.5300000000000002,3.174907774921269,3.175739320774853
2.54,3.0379513147855817,3.0387424017038724
2.5500000000000003,2.900994854649887,2.901745502383994
2.56,2.7640383945141993,2.7647486257513103
2.57,2.627081934378511,2.62775177535418
2.58,2.4901254742428174,2.490754955521631
2.59,2.353169014107129,2.3537581715905684
2.6,2.2162125539714355,2.2167614302171605
2.61,2.079256093835747,2.0797647398113983
2.62,1.9422996337000535,1.9427681111554094
2.63,1.8253905872350875,1.8258256914942028
2.64,1.727198439064938,1.7276064808927731
2.65,1.6317208076340055,1.6321027194913877
2.66,1.538957692942282,1.5393144060795372
2.67,1.4489090949897765,1.4492415393219582
2.68,1.3615750137764797,1.3618841177427186
2.69,1.2769554493024007,1.2772421397070353
2.7,1.1950504015675307,1.1953156034003265
2.71,1.115859870571878,1.1161045068042224
2.72,1.039383856315435,1.0396088476689462
2.73,0.9656223587982083,0.9658286234817152
2.74,0.894575378020192,0.8947638314305347
2.75,0.8262429139813922,0.8264144683630654
2.7600000000000002,0.7606249666818026,0.7607805307401475
2.77,0.6977215361214288,0.6978620145841153
2.7800000000000002,0.6375326223002659,0.6376589154224771
2.79,0.5800582252183188,0.5801712282289578
2.8000000000000003,0.5252983448755825,0.5253989473659664
2.81,0.4732529812720618,0.4733420665368092
